ID,Question,Choice_1,Choice_2,Choice_3,Choice_4,Answer
248,An angle that measures more than 180 degrees but less than 360 degrees is called:,Obtuse angle,Acute angle,Reflex angle,Perigon,Reflex angle
249,An angle that measures exactly 180 degrees is called a:,Straight angle,Acute angle,Right angle,Perigon,Straight angle
250,An angle that is formed by two rays in opposite directions and measures 0 degrees is called a:,Zero angle,Straight angle,Reflex angle,Perigon,Zero angle
251,Lines that never intersect and are always the same distance apart are called:,Perpendicular lines,Parallel lines,Intersecting lines,Transversal lines,Parallel lines
252,A line that intersects two or more lines at distinct points is called a:,Parallel line,Perpendicular line,Intersecting line,Transversal,Transversal
253,Lines that intersect at a 90-degree angle are called:,Perpendicular lines,Parallel lines,Intersecting lines,Transversal lines,Perpendicular lines
254,Lines that cross or meet at a common point are called:,Perpendicular lines,Parallel lines,Intersecting lines,Transversal lines,Intersecting lines
255,What is a part of a line that consists of two endpoints and all the points between them?,Ray,Line segment,Intersecting line,Perpendicular line,Line segment
256,Which term describes a part of a line that has one endpoint and extends infinitely in one direction?,Line segment,Parallel line,Intersecting line,Ray,Ray
257,Lines that are not coplanar and do not intersect are called:,Skew lines,Collinear lines,Concurrent lines,Coplanar lines,Skew lines
258,What is a part of a line bounded by two distinct endpoints?,Ray,Line segment,Intersecting line,Perpendicular line,Line segment
259,Lines that intersect at a single point are called:,Skew lines,Collinear lines,Concurrent lines,Coplanar lines,Concurrent lines
260,Lines that lie in the same plane are called:,Skew lines,Collinear lines,Concurrent lines,Coplanar lines,Coplanar lines
261,What is the appropriate terminology for points that lie along the same line?,Collinear points,Non-collinear points,Coplanar points,Non-coplanar points,Collinear points
262,How do you describe lines that form a right angle with the x-axis and run parallel to each other?,Horizontal lines,Parallel lines,Vertical lines,Diagonal lines,Vertical lines
263,What is the term for lines that join two vertices that are not adjacent in a polygon?,Parallel lines,Diagonal lines,Perpendicular lines,Horizontal lines,Diagonal lines
264,What is the correct term for lines that intersect the y-axis at a 90-degree angle and maintain a parallel relationship with one another?,Horizontal lines,Vertical lines,Diagonal lines,Parallel lines,Vertical lines
265,What is the term for lines that do not cross paths and are not contained within the same plane?,Parallel lines,Intersecting lines,Skew lines,Collinear lines,Skew lines
266,"If Peter is currently three times as old as his son, and in 10 years, Peter will be twice as old as his son, how old is Peter now?",15,30,9,18,30
267,"Ten years ago, Jane was twice the age of Tom. If the sum of their ages is 50 now, how old is Tom now?",15,10,20,17,20
268,The age of a father and his son adds up to 55 years. The father's age is four times the son's age. What is the son's age?,5,11,15,7,11
269,"Samantha is currently four times as old as her daughter. If in 10 years, she will be three times her daughter's age, how old is Samantha now?",60,80,70,30,80
270,"Mike is currently three times the age of his daughter. If in 6 years, he will be twice her age, how old is Mike now?",18,12,8,16,18
271,"Sarah is currently 10 years older than Tom. If in 5 years, she will be twice as old as Tom, how old is Sarah now?",12,10,20,15,15
272,"What is Lily's age if Jane is currently three times as old as Lily and in 8 years, Jane will be twice as old as Lily?",8,12,10,14,8
273,"If the sum of Mark and Kate's ages is 45, and Mark is twice as old as Kate, how old is Mark?",40,30,35,45,30
274,"If five years ago, Sarah was three times the age of David, and the sum of their ages is 50 now, how old is Sarah?",35,25,30,40,35
275,"If twelve years ago, Sarah was twice the age of Sam, and the sum of their ages is 60 now, how old is Sarah?",40,36,30,48,36
276,"If ten years ago, Tom's age was twice Anna's age, and the sum of their ages is 65 now, how old is Tom?",30,40,60,50,40
277,"If ten years ago, Alex's age was three times Casey's age, and the sum of their ages is 60 now, how old is Alex?",20,15,40,30,40
278,"If seven years ago, Emma was twice the age of Finn, and the sum of their ages is 53 now, how old is Emma?",27,33,36,30,33
279,"If fifteen years ago, Maria was half the age of Luke, and the sum of their ages is 90 now, how old is Luke?",48,60,65,55,55
280,"If five years ago, Sarah was four times the age of Jack, and the sum of their ages is 100 now, how old is Sarah?",77,68,56,73,77
281,"If eight years ago, Matt's age was half of Lily's age, and the sum of their ages is 40 now, how old is Lily?",16,24,18,12,24
282,"If twenty years ago, Maya was five times the age of David, and the sum of their ages is 64 now, how old is Maya?",20,30,25,40,40
283,"If twelve years ago, Rachel's age was three times the age of Emily, and the sum of their ages is 40 now, how old is Emily?",18,24,20,16,16
284,"If eighteen years ago, Andrew was six times the age of Natalie, and the sum of their ages is 64 now, how old is Andrew?",42,36,48,30,42
285,"If six years ago, Lisa's age was four times the age of Ethan, and the sum of their ages is 27 now, how old is Lisa?",9,12,18,20,18
286,"If nine years ago, Mark was half the age of Ava, and the sum of their ages is 30 now, how old is Ava?",10,17,15,19,17
287,"If eight years ago, Mike was four times the age of Kate, and the difference of their ages is 15 now, how old is Mike?",20,28,24,32,28
288,"If fifteen years ago, Emily was half the age of Noah, and the difference of their ages is 15 now, how old is Emily?",35,25,30,20,30
289,"If twelve years ago, Lily was three times the age of Ethan, and the difference of their ages is 16 now, how old is Lily?",36,24,30,40,36
290,"If ten years ago, Rachel's age was one-fourth of Tom's age, and the difference of their ages is 12 now, how old is Tom?",20,26,30,28,26
291,Solve for y if 2y + 5 = 19.,y = 7,y = 14,y = 9,y = 12,y = 7
292,What is the value of 3a - 7 when a = 5?,4,8,12,18,8
293,"If 2(x - 3) = 12, what is the value of x?",x = 3,x = 4,x = 6,x = 9,x = 9
294,Solve for y in the equation 5y - 3 = 7.,y = 4,y = 3,y = 1,y = 2,y = 2
295,"If 3x + 4 = 10, what is the value of x?",x = 2,x = -2,x = 3,x = -4,x = 2
296,Solve for x if 2x + 3 = 17.,x = 5,x = 7,x = 11,x = 14,x = 7
297,What is the value of 4y - 3 when y = 3?,9,12,15,18,9
298,"If 3(x + 2) = 6, what is the value of x?",x = -1,x = -4,x = 0,x = 2,x = 0
299,Solve for y in the equation 2y + 4 = 16.,y = 4,y = 5,y = 7,y = 6,y = 6
300,"If 5x - 3 = 42, what is the value of x?",x = 6,x = 8,x = 9,x = 10,x = 9
301,Solve for x in the equation x^2 - 2x - 8 = 0.,x = 2 or x = -4,x = 4 or x = -2,x = 3 or x = -3,x = 6 or x = -6,x = 4 or x = -2
302,Factorize and solve for x in the equation x^2 + 4x - 5 = 0.,x = -2 or x = 3,x = -3 or x = 2,x = -1 or x = 5,x = -5 or x = 1,x = -5 or x = 1
303,Find the solution for x in the equation -2x^2 + 6x = 0.,x = 3,x = 0,x = -3 or x = 0,x = -3 or x = 3,x = 3
304,Solve for x in the equation 2x^2 - 5x - 12 = 0.,x = -3/2 or x = 4,x = 2 or x = -6,x = -2 or x = 6,x = -4 or x = 3,x = -3/2 or x = 4
305,Solve for x in the equation x^2 + 5x + 6 = 0.,x = 2 or x = 3,x = -2 or x = -3,x = -1 or x = -6,x = 1 or x = 6,x = -2 or x = -3
306,Solve for x in the equation x^2 - x - 6 = 0.,x = 2 or x = -3,x = -4 or x = 5,x = 3 or x = -2,x = -1 or x = 6,x = 3 or x = -2
307,Factorize and solve for x in the equation x^2 - 4x - 5 = 0.,x = -1 or x = 5,x = -2 or x = 3,x = -1 or x = 5,x = 2 or x = -3,x = -1 or x = 5
308,Find the solution for x in the equation -3x^2 + 6x + 45 = 0.,x = 2 or x = -5,x = 3 or x = -4,x = -2 or x = 5,x = -3 or x = 5,x = -3 or x = 5
309,Solve for x in the equation x^2 + 2x - 3 = 0.,x = -2 or x = 1,x = 1 or x = -3,x = 4 or x = -5,x = 2 or x = -3,x = 1 or x = -3
310,Solve for x in the equation -2x^2 - x + 6 = 0.,x = 2 or x = -3,x = -1 or x = 4,x = -2 or x = 3/2,x = 1 or x = -4,x = -2 or x = 3/2
311,An item originally priced at $80 is discounted by 50%. What is the discounted price?,$40,$60,$20,$30,$40
312,"If a product priced at $200 is offered at a discounted price of $150, what is the discount percentage?",15%,25%,30%,20%,25%
313,A store offers a 25% discount on a watch priced at $100. What will be the discounted price?,$25,$20,$30,$75,$75
314,A jacket with an original price of $80 is sold at a 40% discount. What is the discounted price?,$20,$32,$48,$52,$48
315,A computer priced at $1000 is sold for $800 after a discount. What is the percentage discount offered?,20%,25%,15%,30%,20%
316,An item originally priced at $200 is discounted by 40%. What is the discounted price?,$80,$60,$120,$140,$120
317,A shirt originally priced at $60 is sold for $51 after a discount. What is the discount percentage?,10%,15%,20%,25%,15%
318,A book originally priced at $60 is sold at a 40% discount. How much is discounted from the original price?,$12,$18,$20,$24,$24
319,A product initially priced at $400 is sold for $100 after a discount. What is the percentage discount?,75%,60%,65%,80%,75%
320,A phone priced at $300 is offered at a 30% discount. How much money will be saved on the purchase?,$60,$70,$90,$100,$90
321,"If a fair six-sided die is rolled, what is the probability of rolling an odd number?",1/3,1/6,1/2,2/3,1/2
322,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. What is the probability of randomly selecting a blue marble?",1/5,1/3,2/5,3/10,3/10
323,A standard deck of cards contains 52 cards. What is the probability of drawing a spade from a well-shuffled deck?,1/4,1/6,1/13,1/52,1/4
324,"A box contains 5 red balls, 3 blue balls, and 2 green balls. If one ball is drawn randomly, what is the probability of getting a green ball?",1/20,1/5,1/4,1/10,1/5
325,"A jar contains 4 red balls, 3 blue balls, and 5 green balls. If one ball is drawn randomly, what is the probability of selecting a red ball?",1/5,1/12,1/4,1/3,1/3
326,"In a bag, there are 5 white marbles, 2 black marbles, and 3 yellow marbles. What is the probability of randomly selecting a white or yellow marble?",4/5,4/10,3/8,4/7,4/5
327,"If a fair six-sided die is rolled twice, what is the probability of getting two even numbers?",1/4,5/12,1/9,1/3,1/4
328,"A bag contains 4 red balls, 3 blue balls, and 5 green balls. If two balls are drawn without replacement, what is the probability of drawing a red ball and then a blue ball?",1/6,5/24,1/11,5/18,1/11
329,"In a box, there are 3 white socks, 5 black socks, and 2 blue socks. If one sock is picked randomly, what is the probability of selecting a white sock?",3/10,1/20,3/20,1/5,3/10
330,"If a bag contains 7 red balls and 3 blue balls, what is the probability of drawing two red balls consecutively without replacement?",3/10,7/15,2/5,1/4,7/15
331,"If two cards are drawn from a standard deck of 52 cards without replacement, what is the probability that both cards are aces?",5/13,1/221,1/26,7/221,1/221
332,"In a bag, there are 4 red marbles, 3 blue marbles, and 7 green marbles. What is the probability of randomly selecting a red or blue marble?",5/14,1/2,7/14,3/7,1/2
333,"A box contains 6 chocolates, 4 of which are dark chocolate. If two chocolates are chosen randomly, what is the probability of selecting two dark chocolates consecutively without replacement?",1/8,1/6,1/12,2/5,2/5
334,"A bag contains 4 red marbles, 3 blue marbles, and 5 green marbles. If three marbles are drawn sequentially without replacement, what is the probability of getting two red marbles and then a blue marble?",7/65,3/13,3/55,3/110,3/110
335,"In a bag, there are 5 red balls, 4 blue balls, and 6 green balls. If two balls are drawn sequentially without replacement, what is the probability of getting a blue ball and then a green ball?",3/10,2/15,4/35,1/15,4/35
336,"A box contains 6 red socks, 4 blue socks, and 7 white socks. If three socks are chosen sequentially without replacement, what is the probability of getting two red socks and then a white sock?",10/17,4/65,7/136,3/14,7/136
337,"A box contains 4 red balls, 3 blue balls, and 5 green balls. If three balls are drawn sequentially without replacement, what is the probability of getting two red balls and then a green ball?",1/22,3/10,2/15,5/18,1/22
338,"A bag contains 6 red marbles, 4 blue marbles, and 5 green marbles. If two marbles are drawn sequentially without replacement, what is the probability of getting a red marble and then a blue marble?",5/9,4/35,3/14,1/4,4/35
339,"If a fair six-sided die is rolled twice, what is the probability of getting a 4 on the first roll and a 2 on the second roll?",1/12,1/18,1/10,1/36,1/36
340,"In a bag, there are 5 red balls, 4 blue balls, and 3 green balls. If three balls are drawn sequentially without replacement, what is the probability of getting two red balls and then a blue ball?",3/4,2/33,7/16,3/13,2/33
341,In how many ways can a committee of 3 people be chosen from a group of 5 people?,5,10,15,20,10
342,"How many different ways can the letters A, B, C be arranged?",3,6,9,4,6
343,In how many ways can 5 different books be arranged on a shelf?,25,60,100,120,120
344,"A pizza shop offers 8 toppings. If customers can choose 3 toppings for their pizza, how many different topping combinations are possible?",45,24,12,56,56
345,How many different groups of 4 can be formed from a class of 7 students?,21,28,35,42,35
346,In how many ways can 7 people be arranged in a line?,49,42,720,5040,5040
347,"How many different arrangements can be made using the letters A, B, C, and D?",24,12,6,4,24
348,In how many ways can the letters in the word 'APPLE' be arranged?,120,60,24,360,60
349,A dance group has 7 members. In how many ways can 3 dancers be selected to perform a routine?,210,35,21,42,35
350,In how many ways can you choose 2 different fruits from a selection of 6 fruits?,12,15,20,30,15
351,"If there are 5 different types of fruits available, how many combinations of 2 fruits can you choose?",8,15,10,25,10
352,"In a fruit basket, there are 4 types of fruits. How many ways can you pick 2 different fruits?",6,8,10,12,6
353,A fruit salad requires a mix of 3 different fruits from a selection of 4. How many combinations of fruits can be used?,8,10,12,4,4
354,"If you have 6 different fruits, how many ways can you choose 3 fruits for a fruit platter?",20,18,15,12,20
355,"In a market, there are 7 different fruits available. How many combinations of 5 fruits can be made?",21,28,35,42,21
356,What is the conjugate of the complex number 4 - 3i?,-4 - 3i,4 + 3i,-4 + 3i,4 - 3i,4 + 3i
357,Simplify: (3 + 4i) - (1 - 2i),4 + 6i,2 + 6i,2i,4 + 2i,2 + 6i
358,What is the product of (2 + i) and (1 + 2i)?,5i,5 + 4i,-3 + 4i,4 + 5i,5i
359,What is the conjugate of the complex number 2 + 3i?,2 + 3i,-2 - 3i,2 - 3i,-3i,2 - 3i
360,Simplify the expression i^25.,-i,i,1,-1,i
361,Simplify the expression i to the power of 13.,-i,i,1,-1,i
362,Simplify the expression i to the power of 16.,-i,i,1,-1,1
363,Simplify the expression i to the power of 20.,-i,i,1,-1,1
364,Simplify the expression i to the power of 29.,-i,i,1,-1,i
365,Simplify the expression i to the power of 105.,-i,i,1,-1,i
366,Simplify the expression i to the power of 55.,-i,i,1,-1,-i
367,Simplify the expression i to the power of 270.,-i,i,1,-1,-1
368,Simplify the expression i to the power of 2023.,-i,i,1,-1,-i
369,Simplify the expression i to the power of 2024.,-i,i,1,-1,1
370,Simplify the expression i to the power of 1999.,-i,i,1,-1,-i
371,Which line of longitude is the reference for UTC (Coordinated Universal Time)?,Prime Meridian,Tropic of Cancer,Equator,International Date Line,Prime Meridian
372,UTC is often colloquially referred to by a name similar to which time standard?,International Standard Time,World Central Time,Universal Standard Time,Greenwich Mean Time,Greenwich Mean Time
373,"If a location is observing UTC-5, what is its relation to Coordinated Universal Time?",5 hours ahead,5 hours behind,17 hours behind,17 hours ahead,5 hours behind
374,"If it is 14:00 UTC, what time is it in a location observing UTC+5?",9:00 AM,9:00 PM,7:00 AM,7:00 PM,7:00 PM
375,"If a location follows UTC+3 and it is 12:30 UTC, what time is it there?",15:30,09:30,10:30,14:30,15:30
376,Which line of longitude represents the opposite time zone from UTC+12?,Tropic of Cancer,Equator,Prime Meridian,International Date Line,International Date Line
377,"If it is 02:45 UTC, what time will it be in a location following UTC-5?",07:45 AM,07:45 PM,09:45 PM,09:45 AM,09:45 PM
378,"If a location is following UTC-3 and it is 05:00 UTC, what time is it there?",08:00,04:00,02:00,11:00,02:00
379,"If it is 00:00 UTC, what time is it in the Philippines?",8:00 AM,8:00 PM,4:00 AM,4:00 PM,8:00 AM
380,"If it is 12:00 UTC, what time will it be in the Philippines?",12:00 AM,22:00,8:00 AM,8:00 PM,8:00 PM
381,"If a city's population grows by 10% annually from a base population of 900,000, what will be the population after one year?","810,000","920,000","990,000","1,000,000","990,000"
382,"If a town's population increases from 5,000 to 5,400, what is the percentage increase in population?",6%,8%,10%,12%,8%
383,"If a village's population grows from 500 to 700, what is the percentage increase in population?",20%,25%,40%,35%,40%
384,"If a country's population grows from 70 million to 75 million, what is the percentage increase in population?",7%,5%,10%,6%,7%
385,"If a city's population decreases by 10% from a base population of 5,500, what will be the population after the decrease?","4,500","5,000","4,950","5,000","4,950"
386,"If a town's population decreases from 20,000 to 17,000, what is the percentage decrease in population?",10%,15%,20%,25%,15%
387,"If a city's population grows by 5% annually from a base population of 20,000, how many people will be added to the population after one year?",500 people,750 people,"1,000 people","1,250 people","1,000 people"
388,"If a village's population decreases by 20% from a base population of 37,500, what will be the population after the decrease?","32,000","33,000","35,000","30,000","30,000"
389,"If a city's population decreases by 10% from a base population of 20,000, what will be the population after the decrease?","18,000","19,000","17,000","22,000","18,000"
390,"If a town's population increases from 10,000 to 11,000, what is the percentage increase in population?",5%,10%,15%,20%,10%
391,What is the volume of a rectangular prism with dimensions 2 units by 3 units by 4 units?,12 cubic units,24 cubic units,48 cubic units,36 cubic units,24 cubic units
392,What is the volume of a cube with an edge length of 6 units?,36 cubic units,72 cubic units,18 cubic units,216 cubic units,216 cubic units
393,What is the volume of a triangular prism with a triangular base of area 14 square units and a height of 6 units?,84 cubic units,42 cubic units,48 cubic units,72 cubic units,84 cubic units
394,What is the volume of a cylinder with a radius of 5 units and a height of 8 units?,100π cubic units,125π cubic units,200π cubic units,250π cubic units,200π cubic units
395,What is the volume of a cone with a radius of 3 units and a height of 10 units?,30π cubic units,150π cubic units,180π cubic units,270π cubic units,30π cubic units
396,What is the volume of a cube with an edge length of 3 units?,9 cubic units,36 cubic units,27 cubic units,12 cubic units,27 cubic units
397,What is the volume of a rectangular prism with dimensions 3 units by 2 units by 7 units?,24 cubic units,14 cubic units,42 cubic units,12 cubic units,42 cubic units
398,What is the volume of a cube with an edge length of 4 units?,64 cubic units,16 cubic units,32 cubic units,24 cubic units,64 cubic units
399,What is the volume of a cylinder with a radius of 3 units and a height of 10 units?,90π cubic units,60π cubic units,80π cubic units,120π cubic units,90π cubic units
400,What is the volume of a sphere with a radius of 3 units?,18π cubic units,24π cubic units,36π cubic units,48π cubic units,36π cubic units
401,"If 8 workers can complete a project in 6 days, how many hours will it take for 12 workers to complete the same project?",36 hours,96 hours,18 hours,48 hours,96 hours
402,"If 10 workers can build a house in 30 days, how many days will it take for 6 workers to build the same house?",40 days,25 days,20 days,50 days,50 days
403,"If 4 workers can finish a job in 32 days, how many workers are needed to complete the job in 8 days?",16 workers,8 workers,4 workers,2 workers,16 workers
404,"If 12 workers can build a wall in 6 days, how many days will it take for 18 workers to build the same wall?",4 days,6 days,9 days,12 days,4 days
405,"If 15 workers can pave a road in 9 days, how many days will it take for 10 workers to pave the same road?",15.5 days,13.5 days,18 days,12 days,13.5 days
406,"If 6 workers can complete a project in 4 days, how many days will it take for 8 workers to finish the same project?",5 days,3 days,6 days,2 days,3 days
407,"If 15 workers can build a bridge in 5 days, how many days will it take for 25 workers to build the same bridge?",1.5 days,4 days,2 days,3 days,3 days
408,"If 18 workers can paint a house in 12 days, how many days will it take for 12 workers to paint the same house?",16 days,20 days,24 days,18 days,18 days
409,"If 10 workers can complete a task in 15 days, how many days will it take for 20 workers to finish the same task?",25 days,12 days,8 days,7.5 days,7.5 days
410,"If 4 workers can complete a task in 6 hours, how many hours will it take for 6 workers to finish the same task?",3 hours,4 hours,9 hours,2 hours,4 hours
411,"If a three-digit number ABC is 396 more than the number CBA, where A, B, and C are distinct digits, what is the value of A + B + C?",8,9,12,14,8
412,"The sum of the digits of a two-digit number is 10. If the digits are interchanged, the resulting number is 15 more than four times the original number. What is the original number?",37,73,19,64,19
413,"The product of the digits of a two-digit number is 18. If 27 is added to the number, the digits are reversed. What is the number?",29,92,36,63,36
414,A two-digit number AB has the property that AB= 175% of BA. What is the value of AB?,42,36,15,31,42
415,"If the number A7 is divisible by 11, where A is a digit, what is the value of A?",6,7,8,9,7
